County,County_Population,county_name,Biden Votes,Trump Votes,FIPS,Biden Votes per Capita,Trump Votes per Capita
173,14117,SWAIN,2780,4161,37173,0.1969256924275696,0.29475100942126514
175,32986,TRANSYLVANIA,8444,11636,37175,0.2559873885890984,0.35275571454556476
177,3245,TYRRELL,758,1044,37177,0.23359013867488443,0.3217257318952234
179,238267,UNION,48725,80382,37179,0.20449747552115904,0.3373610277545778
181,42578,VANCE,12431,8391,37181,0.29195828831791065,0.1970736060876509
183,1129410,WAKE,393336,226197,37183,0.3482667941668659,0.2002789066857917
185,18642,WARREN,6400,3752,37185,0.34331080356184956,0.2012659585881343
187,11003,WASHINGTON,3396,2781,37187,0.3086430973370899,0.2527492502044897
189,54086,WATAUGA,17122,14451,37189,0.3165699071848537,0.2671855933143512
191,117333,WAYNE,24215,30709,37191,0.20637842721144095,0.2617251753556118
193,65969,WILKES,7511,27592,37193,0.11385650835998727,0.4182570601343055
195,78784,WILSON,20754,19581,37195,0.2634291226645004,0.24854031275385866
197,37214,YADKIN,3763,15933,37197,0.10111785887031763,0.4281453216531413
199,18470,YANCEY,3688,7516,37199,0.19967514889009205,0.4069301570113698
